scene,group,set,camera_center_displacement_mean,rotation_change_deg_mean,fov_change_mean,aligned_translation_error_mean,aligned_translation_error_delta
scene0071_00,fov,controls,0.019770958301751976,1.0120364094214105,0.021554122669408534,0.10918083570627596,0.024470107042070657
scene0096_00,translation,selected,0.30697929061736445,9.249851148859817,0.04968823557926702,0.42222027969406817,0.3547919065070474
scene0096_00,translation,controls,0.012555025840254816,0.9706997094294288,0.02143133643649176,0.06664193734367126,-0.0007864358433494895
scene0096_00,rotation,selected,0.22413279090783264,14.993325492731064,0.1770714316373644,0.5190491916423211,0.45162081845530033
scene0096_00,rotation,controls,0.020428886429814754,0.8135380778360985,0.056688911094819217,0.06496324492568689,-0.0024651282613338543
scene0096_00,fov,selected,0.08658710129501947,4.689743428610961,0.29042883070898706,0.14689748159983862,0.07946910841281787
scene0096_00,fov,controls,0.023811636432244144,1.2722526724330552,0.021905852684023713,0.06772586156133138,0.00029748837431063657
scene0109_00,translation,selected,0.2510443118038285,7.324179317047335,0.04561448400672679,0.2915835251867317,0.24511004626923125
scene0109_00,translation,controls,0.012504575831169318,1.0318436707812886,0.017271005641661348,0.049294415032960844,0.0028209361154603874
scene0109_00,rotation,selected,0.1433516667620296,13.428614947907882,0.1867019967584217,0.2831186184359863,0.23664513951848584
scene0109_00,rotation,controls,0.02036998893009225,0.861841931055183,0.04906349603780142,0.050907406110232784,0.004433927192732327
scene0109_00,fov,selected,0.07178197660779212,2.2726702611049014,0.27043071829430587,0.10897320434738518,0.062499725429884724
scene0109_00,fov,controls,0.02256035649592559,1.0864896739342802,0.019091115124898566,0.05448639217040796,0.008012913252907504
scene0136_01,translation,selected,0.12329960987101136,4.671581739637941,0.03173146138198224,0.14205944260043582,0.1044158249417812
scene0136_01,translation,controls,0.011148821197168328,1.7783450928850484,0.023571563974204762,0.03643523387131005,-0.0012083837873445788
scene0136_01,rotation,selected,0.10125017631411873,11.246234411184332,0.18946197247469648,0.1536835514460286,0.11603993378737398
scene0136_01,rotation,controls,0.012945551038411812,0.6778374532534361,0.06157039130295328,0.0437907450665305,0.006147127407875874
scene0136_01,fov,selected,0.03693991049801655,2.8333353430752837,0.4058107591485028,0.05674541569153831,0.019101798032883685
scene0136_01,fov,controls,0.019432183235696423,1.2931302278076975,0.02521599484952538,0.04855322491600569,0.010909607257351059
scene0150_00,translation,selected,0.11231337783924944,3.9433034858339973,0.016158249543995896,0.04829808385280038,0.03309714085053438
scene0150_00,translation,controls,0.006448027812766087,0.7342747347597693,0.02144484236090902,0.016528384586560217,0.0013274415842942228
scene0150_00,rotation,selected,0.037064864680679745,7.417086559924081,0.13143333678047162,0.027919094667647817,0.012718151665381823
scene0150_00,rotation,controls,0.008590445453561243,0.32747472277686557,0.05777844753787453,0.01625399490456028,0.0010530519022942872
scene0150_00,fov,selected,0.0358405678579008,1.983311410307666,0.2689759837288395,0.029545664240922274,0.01434472123865628
scene0150_00,fov,controls,0.011762625235767784,0.5740899615803832,0.023982147845822435,0.016564800803579038,0.0013638578013130433
scene0164_01,translation,selected,0.15299567073244927,7.1373091055101066,0.03244290722242571,0.09708432188098609,0.02812144507300232
scene0164_01,translation,controls,0.010199312361178764,1.5401873399193897,0.01953828867475693,0.07156753343687254,0.0026046566288887713
scene0164_01,rotation,selected,0.1398438137675711,14.527051573419806,0.15557530857415588,0.09390229840582495,0.024939421597841183
scene0164_01,rotation,controls,0.015417413972277156,0.873256297978438,0.04536347009405301,0.07224702919342313,0.0032841523854393595
scene0164_01,fov,selected,0.05260498372202632,3.9088843279591448,0.29116081684192957,0.08223981194828642,0.013276935140302648
scene0164_01,fov,controls,0.02138080844262174,1.009240993734208,0.019475833570440935,0.07222080100845482,0.003257924200471052
scene0177_01,translation,selected,0.15284553975594312,5.537010946779883,0.04760333882111185,0.18367446068935284,0.10025390966886003
scene0177_01,translation,controls,0.010922315406394862,1.3515953722238543,0.023559225985474556,0.09096643236114578,0.0075458813406529684
scene0177_01,rotation,selected,0.07921812081889532,9.996571261878502,0.1417299316645755,0.14873088951838467,0.06531033849789186
scene0177_01,rotation,controls,0.015539594290901284,0.626666933813116,0.06268644896812628,0.08177968588542765,-0.0016408651350651587
scene0177_01,fov,selected,0.05179904282044143,3.100455637677191,0.31096425261638216,0.08879936539163846,0.0053788143711456515
scene0177_01,fov,controls,0.02101461587010158,1.0539850631853827,0.0227245114368551,0.08679214956359024,0.0033715985430974316
